genre,author,book,pubhouse,price_now,price_old
Художественная литература,Сергеев Владимир Никонорович,Minni. Призвание - любить,У Никитских ворот,300,429
Художественная литература,Стужев Остап Иванович,Карадагский змей,У Никитских ворот,750,1 072
Художественная литература,Запяткин Евгений Викторович,Килограмм золотых рыбок,У Никитских ворот,300,429
Художественная литература,Кеффель-Наумова Лариса,Снег на Рейне,У Никитских ворот,300,429
Художественная литература,Катрин Селина,Охота на эмиссара,Феникс,772,1 187
Художественная литература,Эндрюс Хелен-Роуз,Левиафан,Аркадия,818,1 168
Художественная литература,Гончаров Иван Александрович,Обрыв,Галерея классики,2 128,3 040
Художественная литература,Киплинг Редьярд Джозеф,Призрак в желтой коляске,Текст,924,1 232
Художественная литература,,,,1 512,2 160
Художественная литература,Прево Эжен Марсель,Осень женщины,Вече,709,1 013
Художественная литература,Жданов Лев Григорьевич,Сгибла Польша!,Вече,394,563
Художественная литература,Брешко-Брешковский Николай Николаевич,Когда рушатся троны…,Вече,355,507
Художественная литература,Феваль Поль,Фея дюн,Вече,788,1 126
Художественная литература,Задорнов Николай Павлович,Амур-батюшка,Вече,788,1 126
Художественная литература,Цуприков Иван Валентинович,Последнее слово шамана,Вече,552,788
Художественная литература,Шкловский Виктор Борисович,"Zoo. Письма не о любви, или Третья Элоиза",Август,375,536
Художественная литература,Дроздов Анатолий Федорович,Мастеровой. Попаданец в магическую Российскую империю,Феникс,594,848
Художественная литература,Оутс Джойс Кэрол,Зомби. Записки милуокского маньяка,Феникс,594,848
Художественная литература,Белянин Андрей Олегович,"ЧВК ""Херсонес"" - 2",Феникс,831,1 187
Художественная литература,Шмелев,Ошибка резидента,Вече,631,901
Художественная литература,Суханов Сергей Сергеевич,Города богов,Вече,394,563
Художественная литература,Кузнецов Евгений,Кудыкины горы,Вече,631,901
Художественная литература,Сейфуллина Лидия Николаевна,Виринея,Вече,788,1 126
Художественная литература,Бородин Сергей Петрович,Костры похода,Вече,631,901
Художественная литература,Воробьев,Дело влюбленного киллера,Вече,631,901
Художественная литература,Пикуль Валентин Саввич,Фаворит. В 2-х книгах,Вече,1 103,1 576
Художественная литература,Пикуль Валентин Саввич,Фаворит. В 2-х книгах,Вече,1 103,1 576
Художественная литература,Васильев Борис Львович,"Вам привет от бабы Леры. Дом, который построил Дед",Вече,946,1 351
Художественная литература,Дмитриев Сергей Николаевич,По Европе с камерой и рифмой. Стихи русского путешественника,Вече,631,901
Художественная литература,Абумов,Игра на убивание,Вече,631,901
"Учебная, методическая литература и словари",,Математика. Часть 2. Тетрадь для рисования. Солнечные ступеньки,УДИВиТ,39,56
"Учебная, методическая литература и словари",Тороп Валерия Валерьевна,Всеобщая история. История Нового времени. 8 класс. Контурные карты. ФГОС,Просвещение,137,210
"Учебная, методическая литература и словари",Крылова Ольга Николаевна,Чтение. 3 класс. Работа с текстом. ФГОС,Экзамен,229,353
"Учебная, методическая литература и словари",Крылова Ольга Николаевна,Чтение. 2 класс. Работа с текстом. ФГОС,Экзамен,229,353
"Учебная, методическая литература и словари",,Математика. Часть 1. Тетрадь для рисования. Солнечные ступеньки,УДИВиТ,39,56
"Учебная, методическая литература и словари",Курукин Игорь Владимирович,История России. 8 класс. Атлас. ФГОС,Просвещение,260,400
"Учебная, методическая литература и словари",Тихомирова Елена Михайловна,"Русский язык. 2 класс. Тесты к учебнику В. П. Канакиной, В. Г. Горецкого. Часть 1",Экзамен,176,270
"Учебная, методическая литература и словари",Погорелова Надежда Юрьевна,Математика. 3 класс. Тренажер к учебнику М. И. Моро и др.,Экзамен,179,276
"Учебная, методическая литература и словари",,,,551,848
"Учебная, методическая литература и словари",Трофимова Елена Викторовна,ВПР Функциональная грамотность. 4 класс. Типовые задания. 6 вариантов заданий. ФГОС,Экзамен,239,368
"Учебная, методическая литература и словари",,Logo! A1. Deutsch für Jugendliche. Intensivtrainer,Klett,1 710,2 630
"Учебная, методическая литература и словари",,Прописи для китайских иероглифов (крупная клетка),Шанс,119,170
"Учебная, методическая литература и словари",Пасечник,Биология. 6 класс. Тесты к учебнику В. В. Пасечника и др.ФГОС,Экзамен,232,357
"Учебная, методическая литература и словари",Коваль Татьяна Викторовна,"Обществознание. 8 класс. Тесты к учебнику Л.Н. Боголюбова, Н.И. Городецкой, Л.Ф. Ивановой и др.",Экзамен,311,479
"Учебная, методическая литература и словари",Козина Галина Александровна,Русский родной язык. 1 класс. Рабочая тетрадь к учебнику О. М. Александровой и др.,Экзамен,203,312
